artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Aespa,drama,394464344,2025-08-10,true,2023-11-10,2025-02-11,"Prudential Center, New York"
Aespa,black mamba,289483285,2025-08-10,true,2022-07-08,2025-02-11,"Prudential Center, New York"
Aespa,supernova,335491681,2025-08-10,true,2024-05-26,2025-02-11,"Prudential Center, New York"
Aespa,flights not feelings,11805937,2025-08-10,false,2024-10-21,2025-02-11,"Prudential Center, New York"
Aespa,better things,100409573,2025-08-10,true,2023-11-10,2025-02-11,"Prudential Center, New York"
Aespa,dopamine(Giselle),26564108,2025-08-10,false,2024-10-09,2025-02-11,"Prudential Center, New York"
Aespa,up(Karina),141865106,2025-08-10,true,2024-10-09,2025-02-11,"Prudential Center, New York"
Aespa,Bored(Ningning),21625721,2025-08-10,false,2024-10-09,2025-02-11,"Prudential Center, New York"
Aespa,Spark(Winter),24660361,2025-08-10,true,2024-10-09,2025-02-11,"Prudential Center, New York"
Aespa,Spicy,201592884,2025-08-10,true,2023-09-15,2025-02-11,"Prudential Center, New York"
Aespa,hold on tight,158861124,2025-08-10,true,2023-03-30,2025-02-11,"Prudential Center, New York"
Aespa,live my life,41040079,2025-08-10,false,2024-05-24,2025-02-11,"Prudential Center, New York"
Aespa,whiplash,267256441,2025-08-10,true,2024-10-21,2025-02-11,"Prudential Center, New York"
Aespa,next level,300480991,2025-08-10,true,2021-05-17,2025-02-11,"Prudential Center, New York"
Aespa,anergy,66705654,2025-08-10,true,2021-10-05,2025-02-11,"Prudential Center, New York"
Aespa,just another girl,9833400,2025-08-10,false,2024-10-21,2025-02-11,"Prudential Center, New York"
Aespa,lifes too short,67027029,2025-08-10,true,2022-07-08,2025-02-11,"Prudential Center, New York"
