artist_name,song_title,streams,record_date,is_liked,release_date,live_event_date,live_event_location
Taylor Swift,begin again,138524272,2025-08-12,true,2012-09-24,2018-08-31,"US Bank Stadium, Minneapolis"
Taylor Swift,end game,582460224,2025-08-12,true,2017-11-10,2018-08-31,"US Bank Stadium, Minneapolis"
Taylor Swift,cruel summer,3017016571,2025-08-12,true,2019-08-23,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,the man,944437062,2025-08-12,false,2019-08-23,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,you need to calm down,1077440331,2025-08-12,true,2019-08-23,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,lover,1826277987,2025-08-12,true,2019-08-23,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,fearless,416141119,2025-08-12,true,2021-04-09,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,you belong with me,940177177,2025-08-12,true,2021-04-09,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,love story,1038783962,2025-08-12,true,2021-04-09,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,22,436480556,2025-08-12,true,2012-10-22,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,we are never getting back together,749593598,2025-08-12,true,2012-10-22,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,I knew you were trouble,990769433,2025-08-12,true,2012-10-22,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,all too well,264117349,2025-08-12,true,2012-10-22,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,enchanted,942626349,2025-08-12,true,2010-10-25,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,ready for it,925698349,2025-08-12,true,2017-11-10,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,delicate,1196792714,2025-08-12,true,2017-11-10,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,don't blame me,1446209940,2025-08-12,true,2017-11-10,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,look what you made me do,1348887501,2025-08-12,true,2017-11-10,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,cardigan,1717150487,2025-08-12,true,2020-07-24,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,betty,427444111,2025-08-12,false,2020-07-24,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,champagne problems,759440542,2025-08-12,true,2020-12-11,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,august,1547491920,2025-08-12,true,2020-07-24,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,illicit affairs,551766733,2025-08-12,false,2020-07-24,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,my tears ricochet,718899823,2025-08-12,false,2020-07-24,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,willow,1009953839,2025-08-12,false,2020-12-11,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,style,1472554757,2025-08-12,true,2014-10-27,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,blank space,2159990913,2025-08-12,true,2014-10-27,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,shake it off,1690960508,2025-08-12,true,2014-10-27,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,wildest dreams,1090220346,2025-08-12,true,2014-10-27,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,bad blood,684970904,2025-08-12,true,2014-10-27,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,so high school,308981767,2025-08-12,false,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,florida,290494973,2025-08-12,true,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,whos afraid of little old me,379389751,2025-08-12,false,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,fortnight,989289688,2025-08-12,true,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,the smallest man who ever lived,293096304,2025-08-12,false,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,I can do it with a broken heart,699704099,2025-08-12,true,2024-04-18,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,timeless,116896622,2025-08-12,true,2023-07-07,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,daylight,581810777,2025-08-12,true,2019-08-23,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,lavender haze,838576376,2025-08-12,true,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,anti-hero,1878631284,2025-08-12,false,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,midnight rain,792079439,2025-08-12,true,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,vigilante shit,484175326,2025-08-12,false,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,bejeweled,662495410,2025-08-12,false,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,mastermind,425708424,2025-08-12,false,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
Taylor Swift,karma,945999630,2025-08-12,true,2022-10-21,2024-10-18,"Hard Rock Stadium, Miami"
